#  Re(w)     Im(w)    e11            e22            e33            e12            e13            e23
   0.77020   0.01000 -0.1217750E+01 -0.1217750E+01 -0.1217750E+01 -0.8881784E-15 -0.2220446E-15  0.6661338E-15
   0.78586   0.01000 -0.9924361E+00 -0.9924361E+00 -0.9924361E+00 -0.2775558E-15 -0.2220446E-15  0.2220446E-15
   0.80152   0.01000 -0.1269120E+01 -0.1269120E+01 -0.1269120E+01  0.5551115E-15  0.2220446E-15  0.6661338E-15
   0.81717   0.01000 -0.1372368E+01 -0.1372368E+01 -0.1372368E+01 -0.2220446E-15  0.0000000E+00  0.4440892E-15
   0.83283   0.01000 -0.1177345E+01 -0.1177345E+01 -0.1177345E+01  0.2220446E-15  0.6661338E-15 -0.6661338E-15
   0.84848   0.01000 -0.1155283E+01 -0.1155283E+01 -0.1155283E+01  0.2220446E-15  0.8881784E-15  0.0000000E+00
   0.86414   0.01000 -0.1149314E+01 -0.1149314E+01 -0.1149314E+01 -0.3330669E-15 -0.4440892E-15  0.4440892E-15
   0.87980   0.01000 -0.1020812E+01 -0.1020812E+01 -0.1020812E+01 -0.2220446E-15 -0.2220446E-15 -0.1110223E-14
   0.89545   0.01000 -0.8615615E+00 -0.8615615E+00 -0.8615615E+00 -0.1110223E-14  0.1110223E-15 -0.9992007E-15
   0.91111   0.01000 -0.8020240E+00 -0.8020240E+00 -0.8020240E+00 -0.5551115E-15  0.1332268E-14 -0.4440892E-15
   0.92677   0.01000 -0.7471510E+00 -0.7471510E+00 -0.7471510E+00  0.2220446E-15 -0.9992007E-15 -0.3330669E-15
   0.94242   0.01000 -0.7208592E+00 -0.7208592E+00 -0.7208592E+00  0.2775558E-15 -0.4440892E-15 -0.4440892E-15
   0.95808   0.01000 -0.5695281E+00 -0.5695281E+00 -0.5695281E+00 -0.3885781E-15  0.7771561E-15  0.5551115E-15
   0.97374   0.01000 -0.4743914E+00 -0.4743914E+00 -0.4743914E+00 -0.1054712E-14  0.7771561E-15 -0.3330669E-15
   0.98939   0.01000 -0.4235966E+00 -0.4235966E+00 -0.4235966E+00 -0.2220446E-15 -0.8881784E-15  0.4440892E-15
   1.00505   0.01000 -0.3533508E+00 -0.3533508E+00 -0.3533508E+00  0.2220446E-15  0.1110223E-15 -0.1110223E-15
   1.02071   0.01000 -0.4016650E+00 -0.4016650E+00 -0.4016650E+00 -0.3885781E-15  0.1110223E-15  0.3330669E-15
   1.03636   0.01000 -0.2800295E+00 -0.2800295E+00 -0.2800295E+00  0.4440892E-15  0.5551115E-15 -0.5551115E-15
   1.05202   0.01000 -0.1447818E+00 -0.1447818E+00 -0.1447818E+00 -0.1665335E-15  0.2220446E-15  0.2220446E-15
   1.06768   0.01000 -0.6115055E-01 -0.6115055E-01 -0.6115055E-01  0.4996004E-15 -0.4440892E-15  0.0000000E+00
   1.08333   0.01000 -0.7701500E-01 -0.7701500E-01 -0.7701500E-01  0.1665335E-15 -0.1110223E-15  0.1110223E-15
   1.09899   0.01000 -0.1632755E+00 -0.1632755E+00 -0.1632755E+00  0.0000000E+00  0.0000000E+00 -0.4440892E-15
   1.11465   0.01000 -0.2662551E+00 -0.2662551E+00 -0.2662551E+00  0.1665335E-15  0.1110223E-15 -0.1110223E-15
   1.13030   0.01000 -0.2469116E+00 -0.2469116E+00 -0.2469116E+00  0.3330669E-15  0.2220446E-15  0.2220446E-15
   1.14596   0.01000 -0.1348547E+00 -0.1348547E+00 -0.1348547E+00  0.1665335E-15  0.1110223E-15 -0.5551115E-15
   1.16162   0.01000 -0.1860648E+00 -0.1860648E+00 -0.1860648E+00  0.4996004E-15  0.2220446E-15 -0.6661338E-15
   1.17727   0.01000 -0.1211485E+00 -0.1211485E+00 -0.1211485E+00 -0.5551115E-16  0.0000000E+00  0.0000000E+00
   1.19293   0.01000 -0.9516056E-01 -0.9516056E-01 -0.9516056E-01  0.0000000E+00 -0.2220446E-15  0.2220446E-15
   1.20859   0.01000 -0.8447167E-01 -0.8447167E-01 -0.8447167E-01 -0.3885781E-15 -0.5551115E-15  0.5551115E-15
   1.22424   0.01000 -0.6570093E-02 -0.6570093E-02 -0.6570093E-02  0.2775558E-15  0.1110223E-15 -0.1110223E-15
   1.23990   0.01000  0.7185814E-01  0.7185814E-01  0.7185814E-01  0.2220446E-15 -0.1110223E-15 -0.1110223E-15
   1.25556   0.01000  0.7533985E-01  0.7533985E-01  0.7533985E-01  0.4440892E-15 -0.2220446E-15  0.2220446E-15
   1.27121   0.01000  0.6671412E-01  0.6671412E-01  0.6671412E-01 -0.6661338E-15  0.3885781E-15  0.5551115E-16
   1.28687   0.01000  0.8602671E-01  0.8602671E-01  0.8602671E-01  0.5551115E-15 -0.1665335E-15 -0.2775558E-15
   1.30253   0.01000  0.8353779E-01  0.8353779E-01  0.8353779E-01 -0.3053113E-15  0.0000000E+00  0.0000000E+00
   1.31818   0.01000  0.1408121E+00  0.1408121E+00  0.1408121E+00 -0.1387779E-15  0.0000000E+00  0.2220446E-15
   1.33384   0.01000  0.1387413E+00  0.1387413E+00  0.1387413E+00 -0.1942890E-15 -0.1665335E-15 -0.5551115E-16
   1.34949   0.01000  0.1652338E+00  0.1652338E+00  0.1652338E+00  0.2775558E-16 -0.2220446E-15  0.4440892E-15
   1.36515   0.01000  0.1909312E+00  0.1909312E+00  0.1909312E+00  0.3330669E-15 -0.5551115E-16  0.5551115E-16
   1.38081   0.01000  0.1923689E+00  0.1923689E+00  0.1923689E+00 -0.2775558E-15  0.1110223E-15 -0.1110223E-15
   1.39646   0.01000  0.2027473E+00  0.2027473E+00  0.2027473E+00 -0.5551115E-16 -0.3330669E-15 -0.1110223E-15
   1.41212   0.01000  0.2317282E+00  0.2317282E+00  0.2317282E+00 -0.5551115E-16  0.3885781E-15  0.2775558E-15
   1.42778   0.01000  0.2445659E+00  0.2445659E+00  0.2445659E+00  0.5551115E-16 -0.5551115E-16  0.5551115E-16
   1.44343   0.01000  0.2526700E+00  0.2526700E+00  0.2526700E+00 -0.1387779E-15  0.0000000E+00  0.0000000E+00
   1.45909   0.01000  0.2887291E+00  0.2887291E+00  0.2887291E+00 -0.5551115E-16 -0.1665335E-15 -0.5551115E-16
   1.47475   0.01000  0.3057614E+00  0.3057614E+00  0.3057614E+00  0.5551115E-16 -0.1110223E-15 -0.1110223E-15
   1.49040   0.01000  0.3359089E+00  0.3359089E+00  0.3359089E+00 -0.2775558E-16  0.0000000E+00  0.0000000E+00
   1.50606   0.01000  0.3494156E+00  0.3494156E+00  0.3494156E+00  0.1110223E-15  0.5551115E-16 -0.5551115E-16
   1.52172   0.01000  0.3678049E+00  0.3678049E+00  0.3678049E+00  0.1942890E-15  0.2775558E-15 -0.2775558E-15
   1.53737   0.01000  0.3721498E+00  0.3721498E+00  0.3721498E+00 -0.1110223E-15  0.1665335E-15  0.5551115E-16
   1.55303   0.01000  0.3826652E+00  0.3826652E+00  0.3826652E+00 -0.5551115E-16 -0.2220446E-15  0.0000000E+00
   1.56869   0.01000  0.3982734E+00  0.3982734E+00  0.3982734E+00 -0.5551115E-16  0.5551115E-16 -0.5551115E-16
   1.58434   0.01000  0.3984518E+00  0.3984518E+00  0.3984518E+00 -0.1387779E-15  0.5551115E-16 -0.5551115E-16
   1.60000   0.01000  0.3978416E+00  0.3978416E+00  0.3978416E+00  0.0000000E+00 -0.1110223E-15 -0.1110223E-15
