# Im(w)=  0.1000000E-01 Ry
# Re(w) (Ry)      lambda         e1             e2          n              k              R         alpha (cm^-1)
  0.6292929E+00  0.1448081E+03 -0.2967832E+01  0.2053130E+01  0.5661089E+00  0.1813370E+01  0.6055683E+00  0.1573633E+07
  0.6449495E+00  0.1412928E+03 -0.2869536E+01  0.1541756E+01  0.4404289E+00  0.1750290E+01  0.6571436E+00  0.1556682E+07
  0.6606061E+00  0.1379441E+03 -0.2539028E+01  0.1126282E+01  0.3453927E+00  0.1630437E+01  0.6908134E+00  0.1485288E+07
  0.6762626E+00  0.1347505E+03 -0.1788065E+01  0.1351931E+01  0.4762155E+00  0.1419453E+01  0.5458189E+00  0.1323733E+07
  0.6919192E+00  0.1317014E+03 -0.1946933E+01  0.1654267E+01  0.5513145E+00  0.1500293E+01  0.5265103E+00  0.1431515E+07
  0.7075758E+00  0.1287872E+03 -0.2482771E+01  0.1654164E+01  0.5002922E+00  0.1653198E+01  0.5984765E+00  0.1613102E+07
  0.7232323E+00  0.1259992E+03 -0.2418562E+01  0.1006205E+01  0.3169852E+00  0.1587149E+01  0.7019059E+00  0.1582923E+07
  0.7388889E+00  0.1233294E+03 -0.2066803E+01  0.4997026E+00  0.1725544E+00  0.1447956E+01  0.8011738E+00  0.1475363E+07
  0.7545455E+00  0.1207703E+03 -0.1543979E+01  0.4561464E+00  0.1816198E+00  0.1255773E+01  0.7556567E+00  0.1306654E+07
  0.7702020E+00  0.1183153E+03 -0.1217750E+01  0.5214840E+00  0.2312591E+00  0.1127489E+01  0.6681163E+00  0.1197515E+07
  0.7858586E+00  0.1159581E+03 -0.9924361E+00  0.8426062E+00  0.3933527E+00  0.1071057E+01  0.4905738E+00  0.1160703E+07
  0.8015152E+00  0.1136931E+03 -0.1269120E+01  0.1135720E+01  0.4658180E+00  0.1219059E+01  0.4873697E+00  0.1347413E+07
  0.8171717E+00  0.1115148E+03 -0.1372368E+01  0.8332180E+00  0.3414213E+00  0.1220220E+01  0.5846895E+00  0.1375041E+07
  0.8328283E+00  0.1094184E+03 -0.1177345E+01  0.5798983E+00  0.2598714E+00  0.1115741E+01  0.6329699E+00  0.1281395E+07
  0.8484848E+00  0.1073993E+03 -0.1155283E+01  0.6977140E+00  0.3117214E+00  0.1119131E+01  0.5806062E+00  0.1309451E+07
  0.8641414E+00  0.1054535E+03 -0.1149314E+01  0.5960707E+00  0.2696074E+00  0.1105442E+01  0.6194547E+00  0.1317301E+07
  0.8797980E+00  0.1035769E+03 -0.1020812E+01  0.4604493E+00  0.2225320E+00  0.1034569E+01  0.6529604E+00  0.1255182E+07
  0.8954545E+00  0.1017659E+03 -0.8615615E+00  0.4162079E+00  0.2182489E+00  0.9535167E+00  0.6352372E+00  0.1177433E+07
  0.9111111E+00  0.1000171E+03 -0.8020240E+00  0.4261134E+00  0.2304011E+00  0.9247209E+00  0.6109725E+00  0.1161840E+07
  0.9267677E+00  0.9832745E+02 -0.7471510E+00  0.4185815E+00  0.2337339E+00  0.8954231E+00  0.5976837E+00  0.1144362E+07
  0.9424242E+00  0.9669393E+02 -0.7208592E+00  0.2888608E+00  0.1669163E+00  0.8652862E+00  0.6836330E+00  0.1124528E+07
  0.9580808E+00  0.9511380E+02 -0.5695281E+00  0.2851356E+00  0.1835619E+00  0.7766744E+00  0.6336167E+00  0.1026137E+07
  0.9737374E+00  0.9358448E+02 -0.4743914E+00  0.2962178E+00  0.2060181E+00  0.7189122E+00  0.5819681E+00  0.9653436E+06
  0.9893939E+00  0.9210356E+02 -0.4235966E+00  0.3154696E+00  0.2286541E+00  0.6898400E+00  0.5393451E+00  0.9411998E+06
  0.1005051E+01  0.9066878E+02 -0.3533508E+00  0.3407838E+00  0.2622565E+00  0.6497148E+00  0.4795003E+00  0.9004816E+06
  0.1020707E+01  0.8927802E+02 -0.4016650E+00  0.2837379E+00  0.2122608E+00  0.6683709E+00  0.5569352E+00  0.9407687E+06
  0.1036364E+01  0.8792928E+02 -0.2800295E+00  0.2314959E+00  0.2040809E+00  0.5671671E+00  0.5391880E+00  0.8105641E+06
  0.1052020E+01  0.8662068E+02 -0.1447818E+00  0.2481166E+00  0.2669152E+00  0.4647855E+00  0.4137275E+00  0.6742808E+06
  0.1067677E+01  0.8535046E+02 -0.6115055E-01  0.3488998E+00  0.3827973E+00  0.4557240E+00  0.2776771E+00  0.6709743E+06
  0.1083333E+01  0.8411696E+02 -0.7701500E-01  0.4488101E+00  0.4349454E+00  0.5159384E+00  0.2517908E+00  0.7707689E+06
  0.1098990E+01  0.8291860E+02 -0.1632755E+00  0.5057424E+00  0.4290512E+00  0.5893729E+00  0.2817868E+00  0.8931987E+06
  0.1114646E+01  0.8175391E+02 -0.2662551E+00  0.4508608E+00  0.3587162E+00  0.6284365E+00  0.3597332E+00  0.9659681E+06
  0.1130303E+01  0.8062148E+02 -0.2469116E+00  0.3000031E+00  0.2661141E+00  0.5636739E+00  0.4458188E+00  0.8785916E+06
  0.1145960E+01  0.7952000E+02 -0.1348547E+00  0.2739301E+00  0.2919508E+00  0.4691375E+00  0.3818619E+00  0.7413676E+06
  0.1161616E+01  0.7844821E+02 -0.1860648E+00  0.3296724E+00  0.3102341E+00  0.5313285E+00  0.3792287E+00  0.8511183E+06
  0.1177273E+01  0.7740492E+02 -0.1211485E+00  0.2122731E+00  0.2482566E+00  0.4275276E+00  0.4295982E+00  0.6940735E+06
  0.1192929E+01  0.7638902E+02 -0.9516056E-01  0.2593741E+00  0.3009311E+00  0.4309526E+00  0.3590876E+00  0.7089382E+06
  0.1208586E+01  0.7539945E+02 -0.8447167E-01  0.1847785E+00  0.2436182E+00  0.3792380E+00  0.4235280E+00  0.6320531E+06
  0.1224242E+01  0.7443518E+02 -0.6570093E-02  0.1419305E+00  0.2603002E+00  0.2726285E+00  0.3737826E+00  0.4602596E+06
  0.1239899E+01  0.7349527E+02  0.7185814E-01  0.1690131E+00  0.3574302E+00  0.2364281E+00  0.2469267E+00  0.4042496E+06
  0.1255556E+01  0.7257879E+02  0.7533985E-01  0.2017581E+00  0.3812517E+00  0.2645997E+00  0.2289648E+00  0.4581307E+06
  0.1271212E+01  0.7168489E+02  0.6671412E-01  0.2171834E+00  0.3833492E+00  0.2832710E+00  0.2309551E+00  0.4965745E+06
  0.1286869E+01  0.7081275E+02  0.8602671E-01  0.1771412E+00  0.3761330E+00  0.2354768E+00  0.2281251E+00  0.4178751E+06
